itemID
1|0
2|0
3|5
4|0
5|0
6|0
7|0
8|7
9|11
10|7
11|0
12|0
13|0
14|3
15|4
16|0
17|9
18|0
19|0
20|0
21|0
22|0
23|0
24|0
25|0
26|0
27|0
28|0
29|0
30|1
31|0
32|0
33|0
34|7
35|11
36|0
37|0
38|13
39|0
40|0
41|0
42|0
43|0
44|0
45|0
46|0
47|4
48|0
49|0
50|0
51|7
52|0
53|0
54|0
55|7
56|0
57|0
58|0
59|0
60|0
61|0
62|7
63|0
64|0
65|0
66|0
67|9
68|0
69|0
70|0
71|11
72|0
73|7
74|0
75|0
76|0
77|0
78|9
79|0
80|7
81|0
82|7
83|0
84|0
85|0
86|5
87|0
88|2
89|0
90|0
91|0
92|0
93|0
94|0
95|0
96|7
97|7
98|0
99|0
100|0
101|43
102|41
103|20
104|0
105|0
106|0
107|0
108|0
109|0
110|0
111|0
112|0
113|0
114|0
115|26
116|0
117|0
118|0
119|0
120|0
121|7
122|0
123|0
124|0
125|0
126|0
127|0
128|0
129|9
130|0
131|0
132|0
133|0
134|0
135|0
136|0
137|0
138|0
139|0
140|0
141|8
142|8
143|0
144|0
145|0
146|0
147|0
148|7
149|0
150|0
151|0
152|0
153|0
154|0
155|0
156|0
157|2
158|0
159|0
160|9
161|9
162|9
163|3
164|0
165|4
166|0
167|0
168|0
169|0
170|0
171|0
172|0
173|0
174|0
175|0
176|0
177|0
178|0
179|0
180|0
181|0
182|0
183|0
184|0
185|0
186|0
187|0
188|0
189|0
190|0
191|0
192|0
193|0
194|0
195|0
196|0
197|0
198|0
199|4
200|0
201|0
202|0
203|0
204|0
205|0
206|0
207|0
208|0
209|0
210|0
211|0
212|0
213|0
214|0
215|0
216|0
217|0
218|0
219|0
220|0
221|0
222|0
223|0
224|0
225|0
226|11
227|0
228|0
229|0
230|4
231|0
232|0
233|0
234|0
235|0
236|0
237|0
238|0
239|2
240|9
241|0
242|0
243|0
244|0
245|0
246|0
247|0
248|0
249|0
250|0
251|0
252|0
253|0
254|12
255|0
256|0
257|1
258|0
259|3
260|4
261|3
262|3
263|3
264|1
265|8
266|8
267|9
268|0
269|0
270|0
271|0
272|0
273|0
274|0
275|0
276|25
277|4
278|7
279|0
280|7
